Nome;Etapa;Nota Final
Ana Beatriz Lima;Etapa:1;8.500000
André Luiz Nascimento;Etapa:2;8.600000
Beatriz Oliveira Prado;Etapa:3;7.400000
Bruno Henrique Souza;Etapa:2;7.800000
Caio Vinícius Moraes;Etapa:1;9.300000
Carla Mendes Oliveira;Etapa:3;9.100000
Daniela Ribeiro Farias;Etapa:2;8.200000
Diego Ramos Pereira;Etapa:1;6.900000
Eduarda Gomes Silva;Etapa:2;8.200000
Eduardo Tavares Cunha;Etapa:3;7.000000
Felipe Andrade Costa;Etapa:3;7.500000
Gabriela Torres Rocha;Etapa:1;9.400000
Henrique Moraes Dias;Etapa:2;6.700000
Isabela Duarte Pires;Etapa:3;8.900000
João Pedro Carvalho;Etapa:1;7.300000
Kauã Matos Ribeiro;Etapa:2;8.000000
Lara Nogueira Alves;Etapa:3;9.000000
Matheus Vieira Pinto;Etapa:1;6.500000
Nicole Ferreira Prado;Etapa:2;8.700000
Otávio Almeida Barros;Etapa:3;7.600000
Paula Souza Martins;Etapa:1;8.300000
Rafael Cunha Lopes;Etapa:2;9.200000
Sofia Barcellos Freitas;Etapa:3;8.400000
Tiago Castro Rezende;Etapa:1;7.100000
Ursula Dias Menezes;Etapa:2;8.800000
Vitor Azevedo Ramos;Etapa:3;6.800000
Wesley Monteiro Santos;Etapa:1;7.900000
Xavier Lopes Costa;Etapa:2;8.100000
Yasmin Cardoso Lima;Etapa:3;9.000000
Zuleica Mendes Rocha;Etapa:1;7.700000
